round_number,global_mse,global_psnr,timestamp,chaos_scenario
1,0.06823957711458206,11.659636731853833,2026-03-06 00:51:52,Normal
2,0.07183023542165756,11.436927101759277,2026-03-06 00:52:37,Normal
3,0.0719897449016571,11.427293653719076,2026-03-06 00:53:22,Normal
4,0.07310367375612259,11.360607974344617,2026-03-06 00:54:06,Normal
5,0.07436712086200714,11.286190319849814,2026-03-06 00:54:49,Normal
6,0.07303512841463089,11.364682027958153,2026-03-06 00:55:34,Normal
7,0.07003995031118393,11.546541706923364,2026-03-06 00:56:11,Normal
8,0.07830321788787842,11.062203901485308,2026-03-06 00:56:48,Normal
9,0.07292887568473816,11.37100481729446,2026-03-06 00:57:25,Normal
10,0.06862659752368927,11.635075327036347,2026-03-06 00:58:03,Normal
11,0.06542444229125977,11.842599708028807,2026-03-06 00:58:47,Normal
12,0.06534294784069061,11.848012769302592,2026-03-06 00:59:31,Normal
13,0.07333394885063171,11.346949286977603,2026-03-06 01:00:15,Normal
14,0.06638163328170776,11.779520662313207,2026-03-06 01:00:59,Normal
15,0.06566769629716873,11.826482190249761,2026-03-06 01:01:44,Normal
16,0.06828951090574265,11.656459977179363,2026-03-06 01:02:27,Normal
17,0.06704042106866837,11.736632666447118,2026-03-06 01:03:11,Normal
18,0.0662495419383049,11.788171201738606,2026-03-06 01:03:55,Normal
19,0.06887201964855194,11.619571812899709,2026-03-06 01:04:39,Normal
20,0.06994582712650299,11.552381898210559,2026-03-06 01:05:23,Normal
21,0.06684000045061111,11.749635558507897,2026-03-06 01:06:07,Normal
22,0.06790993362665176,11.680666940008289,2026-03-06 01:06:51,Normal
23,0.06470142304897308,11.890861673139884,2026-03-06 01:07:35,Normal
24,0.06636404246091843,11.780671674789197,2026-03-06 01:08:19,Normal
25,0.06444821506738663,11.907891061945051,2026-03-06 01:09:03,Normal
26,0.0693148598074913,11.591736508053945,2026-03-06 01:09:46,Normal
27,0.06574459373950958,11.821399539504757,2026-03-06 01:10:30,Normal
28,0.062663234770298,12.02987189942185,2026-03-06 01:11:14,Normal
29,0.0652981773018837,11.850989412177583,2026-03-06 01:11:58,Normal
30,0.061332982033491135,12.123059192321895,2026-03-06 01:12:42,Normal
