round_number,global_mse,global_psnr,timestamp,chaos_scenario
1,0.06277664750814438,12.022018808562652,2026-03-06 01:13:29,Normal
2,0.06156832352280617,12.106426718869482,2026-03-06 01:14:14,Normal
3,0.06318444013595581,11.99389858348745,2026-03-06 01:14:58,Normal
4,0.06573334336280823,11.822142778505969,2026-03-06 01:15:42,Normal
5,0.06352714449167252,11.970406655112804,2026-03-06 01:16:26,Normal
6,0.06394897401332855,11.941664188776542,2026-03-06 01:17:11,Normal
7,0.06534764170646667,11.84770080804918,2026-03-06 01:17:55,Normal
8,0.06562309712171555,11.829432766758197,2026-03-06 01:18:39,Normal
9,0.0615653395652771,12.106637208228259,2026-03-06 01:19:24,Normal
10,0.06360046565532684,11.965397046220485,2026-03-06 01:20:08,Normal
11,0.06242519989609718,12.046400582896627,2026-03-06 01:20:52,Normal
12,0.06605929136276245,11.800660894228763,2026-03-06 01:21:36,Normal
13,0.06230199709534645,12.054980317744175,2026-03-06 01:22:20,Normal
14,0.06242072209715843,12.046712116239481,2026-03-06 01:23:04,Normal
15,0.061006948351860046,12.146206984479388,2026-03-06 01:23:48,Normal
16,0.0662485808134079,11.788234208101343,2026-03-06 01:24:33,Normal
17,0.0693000853061676,11.592662307853786,2026-03-06 01:25:17,Normal
18,0.06427431851625443,11.91962519371204,2026-03-06 01:26:02,Normal
19,0.06664171069860458,11.762538630804356,2026-03-06 01:26:45,Normal
20,0.06530110538005829,11.850794671721449,2026-03-06 01:27:29,Normal
21,0.06547181308269501,11.839456321816105,2026-03-06 01:28:13,Normal
22,0.06759824603796005,11.700645724890988,2026-03-06 01:28:58,Normal
23,0.06886063516139984,11.620289757379547,2026-03-06 01:29:43,Normal
24,0.06778854876756668,11.688436634645669,2026-03-06 01:30:27,Normal
25,0.06905662268400192,11.607946652794665,2026-03-06 01:31:11,Normal
26,0.06649831682443619,11.77189347224875,2026-03-06 01:31:55,Normal
27,0.06862511485815048,11.635169156606974,2026-03-06 01:32:39,Normal
28,0.07125818729400635,11.47165229672675,2026-03-06 01:33:24,Normal
29,0.06776535511016846,11.689922815011318,2026-03-06 01:34:08,Normal
30,0.06843840330839157,11.647001312531437,2026-03-06 01:34:52,Normal
